file_id,file_name,h_mean,h_std,h_min,h_max,s_mean,s_std,s_min,s_max,l_mean,l_std,l_min,l_max,percentage_shadow_pixels,average_shadow_luminance
128o_rSi0Tv1K6Igjs3Cnuf-xX0JlgGQ0,Plumeria_924_aug_00422.jpg,47.68118223852041,16.36804825483066,0.0,172.0,58.10748166454081,49.934539689213864,0.0,255.0,48.64999202806123,26.000141486196426,0.0,180.0,55.61822385204081,31.05966245028129
1FCDXWLVtqacb3ei9sin0TC9nbI6zz_vb,Plumeria_947_aug_00419.jpg,43.91962292729592,13.411579799611102,0.0,174.0,49.75404575892857,42.599787582556104,0.0,255.0,55.779177295918366,28.99196622578285,0.0,209.0,44.535235969387756,31.575046988275307
1nMDBahrPq2YYRuEHXTkoVgNSFU-SH0wR,Plumeria_355_aug_00417.jpg,47.75033880739796,9.56603356732049,0.0,120.0,100.73698580994898,63.511378766447585,0.0,255.0,75.28158880739795,43.772822589408186,0.0,252.0,31.29185267857143,29.122922106872174
1V2mtLmILJTrIyyHGyWqX8rlKISgSPlqQ,Plumeria_912_aug_00418.jpg,46.57069116709184,23.603415820796055,0.0,174.0,57.37647480867347,57.64008978473145,0.0,255.0,58.61248405612245,39.2550410744988,0.0,245.0,38.64596619897959,20.55706255479346
1s7XWOYtiI7tGPJLrdiDXwOSimUDb0764,Plumeria_609_aug_00416.jpg,41.484594228316325,18.62882511662972,0.0,172.0,63.13426737882653,54.73352735822238,0.0,255.0,70.96121651785714,43.69909495834265,0.0,249.0,32.16876594387755,24.256675546744315
1PIQ85u1n9-cbdu6NS9ZuZLxSEd4NhwCw,Plumeria_523_aug_00414.jpg,40.35453204719388,15.901688099667096,0.0,177.0,75.35357541454081,55.86965519584865,0.0,255.0,86.21167490433673,46.14136934055332,0.0,248.0,21.456473214285715,28.625859186327325
1CAD_HYNzTDPUpTxhLi3NCjh7XcZnB_R_,Plumeria_56_aug_00411.jpg,34.69939811862245,23.17863979507822,0.0,172.0,55.47919323979592,61.96818609677589,0.0,255.0,54.92602040816327,44.45265226017306,0.0,250.0,47.59048150510204,17.298965618325724
1HvOVHCebNBeAxPzzJc5u4p9T3B0T_bjd,Plumeria_964_aug_00412.jpg,35.92900988520408,20.087748519170024,0.0,172.0,41.77572943239796,49.15182611652168,0.0,255.0,48.571986607142854,28.55834730687914,0.0,186.0,48.106664540816325,25.394150302427708
1lMhYwU-NnN_y_00h8dvItzuGjhKmpw7d,Plumeria_912_aug_00410.jpg,36.035275829081634,19.5944297323053,0.0,178.0,80.77244100765306,69.68206739192046,0.0,255.0,52.19794323979592,39.85604427863038,0.0,249.0,52.13847257653062,23.024463896640036
1klSliUppp0LbxYLJ4YGHei8ARjucsIvk,Plumeria_341_aug_00409.jpg,33.420280612244895,24.42970914326075,0.0,177.0,79.11744658801021,74.7980885017256,0.0,255.0,53.43427136479592,47.85188187928842,0.0,252.0,50.980548469387756,14.896716184519155
1eK-i2mMhLSjGDmnbvzbt2JpIF0HFJB4h,Plumeria_160_aug_00408.jpg,49.91848692602041,14.178259804740115,0.0,172.0,96.51634247448979,69.55866800612107,0.0,255.0,74.61635044642857,48.805598272267105,0.0,254.0,34.18765943877551,25.477672845983445
1wRityuX2XAetZN3o16rnOJgdm_AKSx8x,Plumeria_562_aug_00405.jpg,46.36166693239796,20.07791137828954,0.0,172.0,53.805046237244895,51.705208158823076,0.0,255.0,82.60399394132654,40.009891295267806,0.0,213.0,13.61407844387755,13.204948031034988
12taVBHyjOr2Q-F3ch4z03hLHXdoJ6kCI,Plumeria_75_aug_00406.jpg,47.177415497448976,12.271153454172788,0.0,120.0,58.21727519132653,41.387151030788715,0.0,255.0,61.38988759566327,30.702106969856537,1.0,220.0,39.00669642857143,33.24146740241161
1zbwxurUWUvyBY3Pwpyw6HLl_2eJUc89I,Plumeria_307_aug_00407.jpg,40.36150749362245,10.271982493839175,0.0,165.0,76.6011041135204,48.09244341284203,0.0,255.0,79.09233498086735,41.26147007642093,2.0,253.0,26.205755739795915,32.271959844855125
15mL5blAdMRftVHoczj-5xZJCU_2tfADx,Plumeria_918_aug_00402.jpg,36.10361527423469,17.298984621794954,0.0,177.0,74.84520487882654,59.179835786302036,0.0,255.0,65.51173867984694,40.01098857701504,0.0,248.0,35.7421875,26.91362774618044
1eH17kzVCA1mRs0wkMILGPmmWvGwY9HEu,Plumeria_840_aug_00404.jpg,45.85614636479592,10.799054236107608,0.0,172.0,89.29017857142857,61.15106333527193,0.0,255.0,63.16483976403061,36.67511535934587,0.0,246.0,38.39086415816326,28.598660644759384
1HPDyZyGQx83-4PxtR2EUjc3EnSuxGb8n,Plumeria_615_aug_00400.jpg,40.59111926020408,16.588186066808287,0.0,165.0,63.5598294005102,49.69924220933988,0.0,255.0,77.27776227678571,43.38823733195994,0.0,245.0,26.953125,27.564404022478556
1pK-_FviJvV-cxhlJuvjN3kMcK-UxKZJG,Plumeria_562_aug_00401.jpg,37.994997608418366,20.660822200182594,0.0,165.0,63.204719387755105,60.67599454334735,0.0,255.0,57.757892219387756,40.14645762111643,0.0,222.0,44.87005739795919,22.61748245536111
1POr7bjfCF45yDAhg4skh1jGIz0ctuI8z,Plumeria_750_aug_00392.jpg,38.30341198979592,18.647320282770487,0.0,174.0,57.452507174744895,54.02646345707813,0.0,255.0,56.89198022959184,37.57213685976342,0.0,246.0,41.749043367346935,22.080771434027113
1gSn4K8-aYMF7HA9-A3q0Pe9brtu95Jev,Plumeria_355_aug_00398.jpg,39.968052455357146,14.27748771788084,0.0,174.0,66.92540258290816,51.449360602739475,0.0,255.0,70.27849968112245,39.01718908933237,0.0,249.0,31.98341836734694,29.079324526420738
1oKK33V90t0Cx4C9LXJviKpxPYPJiBAru,Plumeria_615_aug_00399.jpg,38.603097098214285,16.33106172247346,0.0,172.0,43.791633450255105,41.08129261588438,0.0,255.0,68.04099569515306,29.562999774602236,0.0,188.0,25.82509566326531,33.93756752585276
1AzazIcT-Tr0GlP0qaf8-8Rin41q2KdhQ,Plumeria_26_aug_00397.jpg,46.13785475127551,19.416265848968123,0.0,172.0,61.10052614795919,57.94033628036553,0.0,255.0,63.28822544642857,38.40810268411552,0.0,249.0,37.81887755102041,26.275189713322092
1pQ_E2NN8KnRnO0M8upmDV4Ik_lw5SiIn,Plumeria_915_aug_00394.jpg,43.289341517857146,23.6582964313148,0.0,172.0,50.31297831632653,58.529889006705666,0.0,255.0,48.92398756377551,37.390422942905246,0.0,232.0,52.044802295918366,20.666577314850272
1g_I1AT-64E8Ij68u6KAghiHrx9l961Q2,Plumeria_552_aug_00393.jpg,47.42396763392857,13.288567114414917,0.0,165.0,48.309450733418366,34.813989062902614,0.0,255.0,85.04609773596938,43.618042701088655,1.0,251.0,22.464923469387756,33.02874378992193
1MhkDCouUStQhYW48ExQEKAXxsvRlDOHF,Plumeria_336_aug_00391.jpg,36.89010682397959,17.63609279724762,0.0,177.0,108.3799824617347,71.50916731672469,0.0,255.0,74.5942083864796,48.80329510045986,0.0,254.0,33.82294323979592,23.662836603617937
1a2GaVqNf8XSxZVsFNYTRUDBjZpneiFXH,Plumeria_924_aug_00389.jpg,39.8864596619898,21.12035602894394,0.0,177.0,76.55217633928571,65.2032584427971,0.0,255.0,64.47319435586735,43.79559530655922,0.0,246.0,37.3664700255102,22.268227638807403
1my2zT0KS7gU7iPO_-Gn7Xnt0YBzSiVCS,Plumeria_523_aug_00388.jpg,45.38129783163265,16.152009673463343,0.0,172.0,42.630301339285715,42.63638084052546,0.0,255.0,67.74376195790816,31.186167123261868,0.0,204.0,27.774234693877553,32.99870838117107
1LHeLQeupNMGajUWlbQAn83Jm1jT4wsm2,Plumeria_639_aug_00387.jpg,35.36756616709184,19.133621285894737,0.0,178.0,83.3382493622449,67.62667854114008,0.0,255.0,69.17952806122449,49.20898911376561,0.0,253.0,37.04360650510204,20.71410125356432
