file_id,file_name,num_contours,avg_contour_area,std_contour_area,max_contour_area,min_contour_area,total_perimeter
10_t5aR1xTgr4hFSGPHcoC7EJD0w8xOpZ,erythrina_variegata_160_aug_00446.jpg,426,85.05633802816901,1742.5447018386183,36008.5,0.0,3376.4288268089294
1lPTFTR1Z3_vkxIXmWQdmLmfhJrBgbNn1,erythrina_variegata_361_aug_00445.jpg,322,109.95031055900621,1926.0828749874133,34616.0,0.0,4224.7904266119
1PjTUa1Z3dDk0akewgQdJ8K7inaQC0RL2,erythrina_variegata_502_aug_00443.jpg,66,653.0151515151515,5257.76914466186,43042.5,0.0,1894.361601471901
1yEIHx04FAtK0gfBlU06q9XauOA-UFvEe,erythrina_variegata_356_aug_00442.jpg,116,315.74568965517244,3375.0396763285266,36509.0,0.0,3026.446071743965
1i9ENJq9oGlhOI3yE0OnRAfayreeYekVZ,erythrina_variegata_60_aug_00437.jpg,112,329.10267857142856,3419.3318851489685,36352.5,0.0,3195.5486640930176
1FDVfeYEYG7L_yTBipl3KJtuG_hvKN4wd,erythrina_variegata_238_aug_00441.jpg,275,137.7709090909091,2224.9023901508967,36965.0,0.0,5139.692010879517
120tXgWrKZptaITNc35V_VHJ2a9A8XSuO,erythrina_variegata_160_aug_00439.jpg,2,24092.75,24092.25,48185.0,0.5,1028.23253595829
1L-Cut7VnvRIEiDm3zn5MSzaZx6T2a58E,erythrina_variegata_620_aug_00438.jpg,12,3811.8333333333335,12490.275943264378,45235.5,0.0,1480.5828212499619
1hVmzBkaK-7I-LbmbgRewunYl1nwGkwiW,erythrina_variegata_20_aug_00440.jpg,135,268.037037037037,3089.7534952793926,36034.5,0.0,3574.384231567383
1aRoRTrQjM_KW-U8TRU4ytC1ACYEkI1us,erythrina_variegata_698_aug_00433.jpg,18,2537.3055555555557,10437.571938725992,45572.5,0.0,1691.903668999672
1c-rsMRoTNvIlYHYV7MxktK2P4iVSeo9j,erythrina_variegata_96_aug_00436.jpg,254,141.5964566929134,2211.051058882957,35309.5,0.0,4148.3812663555145
1M-OUF4tfB0ifAKHdXKuGruEoj4OYww75,erythrina_variegata_439_aug_00432.jpg,63,621.3333333333334,4886.034088206007,39094.0,0.0,1837.6753091812134
1CH8uIB7n9CdGOYhXWv6Txk_jtFbJPsgZ,erythrina_variegata_76_aug_00430.jpg,82,439.0731707317073,3903.647283054618,35571.5,0.0,2543.9149849414825
1MS28iy6nUw5GdEaLX_ZKoL2g_-JYUQcZ,erythrina_variegata_698_aug_00431.jpg,22,2038.5,9320.633743816117,44751.0,0.0,1592.264060497284
1lUjI2WT2ejMGViCYxkrsyvV_VzKCIVrc,erythrina_variegata_468_aug_00427.jpg,1,47552.0,0.0,47552.0,47552.0,872.4264061450958
1HmywwBt84zS9y0n-vtVEqOF2H2D39q29,erythrina_variegata_468_aug_00423.jpg,1,46499.5,0.0,46499.5,46499.5,864.1837655305862
1L4-saRN7q_BTA73mVNn8ySHzIXTU1Jxc,erythrina_variegata_76_aug_00426.jpg,73,508.32191780821915,4308.776512744642,37069.5,0.0,2546.372916698456
1Y9xRS08Mhw3j2TGpa_Syn5TjCk0z3gL7,erythrina_variegata_698_aug_00424.jpg,57,747.0175438596491,5583.219996203625,42528.0,0.0,1672.9158630371094
